book_id,title,author,quantity,Cost,reviews,due_date
2005883,Gilead,Marilynne Robinson,247,5200.0,,
2261987,Spider's Web,Charles Osborne;Agatha Christie,241,2543.0,,
6163831,The One Tree,Stephen R. Donaldson,479,4561.0,,
6178731,Rage of angels,Sidney Sheldon,512,2531.0,,
6280897,The Four Loves,Clive Staples Lewis,170,1245.0,,
6280935,The Problem of Pain,Clive Staples Lewis,176,3264.0,,
6353282,An Autobiography,Agatha Christie,560,526.0,,
6380832,Empires of the Monsoon,Richard Hall,608,399.0,,
647022,The Gap Into Madness,Stephen R. Donaldson,743,299.0,,
6472613,Master of the Game,Sidney Sheldon,489,2500.0,,
6479677,If Tomorrow Comes,Sidney Sheldon,501,3599.0,,
6480098,Assassin's Apprentice,Robin Hobb,460,1455.0,,
6482074,Warhost of Vastmark,Janny Wurts,522,2399.0,,
6483011,The Once and Future King,Terence Hanbury White,823,1299.0,,
6483895,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,337,2000.0,,
6483909,Jimmy the Hand,Raymond E. Feist;S. M. Stirling,368,1500.0,,
6486142,Well of Darkness,Margaret Weis;Tracy Hickman,599,2100.0,,
649045,Witness for the Prosecution & Selected Plays,Agatha Christie,352,3521.0,,
6496431,The Little House,Philippa Gregory,368,2500.0,,
6496873,Mystical Paths,Susan Howatch,576,1205.0,,
649689,Glittering Images,Susan Howatch,512,2365.0,,
649692,Glamorous Powers,Susan Howatch,512,5299.0,,
6498868,The Mad Ship,Robin Hobb,906,1000.0,,
6499163,Post Captain,Patrick O'Brian,474,2000.0,,
6499260,The Reverse of the Medal,Patrick O'Brian,261,5000.0,,
6499627,Miss Marple,Agatha Christie,359,2999.0,,
6511481,The Years of Rice and Salt,Kim Stanley Robinson,772,500.0,,
6512674,Spares,Michael Marshall Smith,317,1000.0,,
6513085,Gravity,Tess Gerritsen,341,2500.0,nice,2024-06-18T11:48:58.410397
